""	"yes"	"no"
"cholesterol"	0.979742224325085	0.0202577756749155
"cyp11a1"	0.640884220487243	0.359115779512757
"pregnenolone"	0.977835411343907	0.0221645886560927
"cyp17a1_hydroxylase"	0.973388975212097	0.0266110247879035
"hsd3b1"	0.960349573066024	0.0396504269339762
"hydroxypregnenolone"	0.949488924624538	0.0505110753754616
"progesterone"	0.966099949412442	0.0339000505875581
"dhea"	0.475249573066024	0.524750426933976
"androsteinedione2"	0.5	0.5
"cyp17a1_lyase"	0.5	0.5
"androsteinedione1"	0.46623298295484	0.53376701704516
"cyp21a1"	0.338859060402685	0.661140939597315
"deoxycortisol"	0.335570469798658	0.664429530201342
"deoxycortisone"	0.330824286690722	0.669175713309278
"cyp11b1"	0.335570469798658	0.664429530201342
"androsteinedione"	0.513890449909823	0.486109550090177
"corticosterone"	0.0194534494463191	0.980546550553681
"hsd17b3"	0.5	0.5
"testosterone"	0.261806320455813	0.738193679544187
"cyp19a1"	0.5	0.5
"estrone"	0.261806320455813	0.738193679544187
"estradiol"	0.138285097023349	0.861714902976651
