""	"yes"	"no"
"cholesterol"	0.981414149761049	0.0185858502389511
"cyp11a1"	0.648803867289179	0.351196132710821
"pregnenolone"	0.992301229875084	0.00769877012491564
"cyp17a1_hydroxylase"	0.99	0.01
"hsd3b1"	0.986227602638791	0.0137723973612087
"hydroxypregnenolone"	0.972730653224807	0.0272693467751932
"dhea"	0.486638020080155	0.513361979919845
"androsteinedione2"	0.5	0.5
"cyp17a1_lyase"	0.5	0.5
"androsteinedione1"	0.482081122535498	0.517918877464502
"cyp21a1"	0.338859060402685	0.661140939597315
"deoxycortisol"	0.335570469798658	0.664429530201342
"deoxycortisone"	0.342081879194631	0.657918120805369
"cyp11b1"	0.335570469798658	0.664429530201342
"androsteinedione"	0.514167542649762	0.485832457350238
"corticosterone"	0.0196697718120805	0.980330228187919
"hsd17b3"	0.5	0.5
"testosterone"	0.261942095898383	0.738057904101617
"cyp19a1"	0.5	0.5
"estrone"	0.261942095898383	0.738057904101617
"estradiol"	0.138351626990208	0.861648373009792
