""	"yes"	"no"
"cholesterol"	0.981401616731185	0.0185983832688147
"cyp11a1"	0.648744500305615	0.351255499694385
"pregnenolone"	0.992192791704486	0.00780720829551359
"cyp17a1_hydroxylase"	0.989907678744852	0.0100923212551476
"hsd3b1"	0.985964885979986	0.0140351140200145
"hydroxypregnenolone"	0.972440397181676	0.0275596028183243
"dhea"	0.0104442993568857	0.989555700643114
"androsteinedione2"	0.0102916137535774	0.989708386246423
"cyp17a1_lyase"	0.0108514027189218	0.989148597281078
"androsteinedione1"	0.0099227854220527	0.990077214577947
"cyp21a1"	0.01	0.99
"deoxycortisone"	0.0198	0.9802
"cyp11b1"	0.5	0.5
"corticosterone"	0.019702	0.980298
"hsd17b3"	0.5	0.5
"cyp19a1"	0.5	0.5
"estradiol"	0.01	0.99
