""	"yes"	"no"
"cholesterol"	0.978165229623341	0.0218347703766591
"cyp11a1"	0.633414245584246	0.366585754415754
"pregnenolone"	0.96419095167523	0.03580904832477
"cyp17a1_hydroxylase"	0.0378688909709684	0.962131109029032
"hsd3b1"	0.935469889894213	0.0645301101057867
"hydroxypregnenolone"	0.0285264675623152	0.971473532437685
"progesterone"	0.934143189994554	0.0658568100054459
"dhea"	0.0102828645539822	0.989717135446018
"androsteinedione2"	0.000104937185872066	0.999895062814128
"cyp17a1_lyase"	0.495465947308312	0.504534052691688
"androsteinedione1"	0.000294725787651981	0.999705274212348
"cyp21a1"	0.957730163097331	0.0422698369026685
"cyp11b1"	0.5	0.5
"corticosterone"	0.5	0.5
"hsd17b3"	0.5	0.5
"cyp19a1"	0.5	0.5
"estradiol"	0.01	0.99
