""	"yes"	"no"
"cholesterol"	0.94311873809387	0.0568812619061296
"cyp11a1"	0.467404548865702	0.532595451134298
"pregnenolone"	0.660962006344107	0.339037993655893
"cyp17a1_hydroxylase"	0.39047512094913	0.60952487905087
"hsd3b1"	0.393491961259584	0.606508038740416
"hydroxypregnenolone"	0.227363344368196	0.772636655631804
"progesterone"	0.223520161328306	0.776479838671694
"dhea"	0.121408038740416	0.878591961259584
"androsteinedione2"	0.01	0.99
"cyp17a1_lyase"	0.5	0.5
"androsteinedione1"	0.0178124516020315	0.982187548397969
"cyp21a1"	0.5	0.5
"deoxycortisol"	0.01	0.99
"deoxycortisone"	0.11952487905087	0.88047512094913
"cyp11b1"	0.5	0.5
"androsteinedione"	0.0370816405442909	0.962918359455709
"corticosterone"	0.0685671907349263	0.931432809265074
"cortisol"	0.0149	0.9851
"hsd17b3"	0.5	0.5
"testosterone"	0.0281700038667026	0.971829996133297
"cyp19a1"	0.5	0.5
"estrone"	0.0281700038667026	0.971829996133297
"estradiol"	0.0238033018946843	0.976196698105316
