spid,spid_legacy,chid,stkc,stkc_unit,tested_conc,tested_conc_unit,MTT
TP0001059E11,01140000A,34286,100,mM,100.1,uM,74.2
TP0001068E11,01140000A,34286,100,mM,100.1,uM,74.2
TP0001061B06,01140002A,41847,100,mM,100.1,uM,91.3
TP0001070B06,01140002A,41847,100,mM,100.1,uM,91.3
TP0001059H02,01140004A,47576,100,mM,100,uM,103.8
TP0001068H02,01140004A,47576,100,mM,100,uM,103.8
TP0001054E01,01140006A,47553,99.9,mM,99.9,uM,101.2
TP0001063E01,01140006A,47553,99.9,mM,99.9,uM,101.2
TP0001054A04,01140008A,24261,99.9,mM,99.9,uM,89.3
TP0001063A04,01140008A,24261,99.9,mM,99.9,uM,89.3
TP0001054B08,01140010A,34972,100,mM,100,uM,87.5
TP0001063B08,01140010A,34972,100,mM,100,uM,87.5
TP0001056B12,01140012A,26252,100,mM,100,uM,92.9
TP0001065B12,01140012A,26252,100,mM,100,uM,92.9
TP0001061B03,01140014A,26726,100,mM,100.1,uM,94.5
TP0001070B03,01140014A,26726,100,mM,100.1,uM,94.5
TP0001054B02,01140016A,27991,20,mM,20,uM,99.9
TP0001063B02,01140016A,27991,20,mM,20,uM,99.9
TP0001054A09,01140018A,29600,100,mM,100,uM,97.9
TP0001063A09,01140018A,29600,100,mM,100,uM,97.9
TP0001054E04,01140020A,40701,100,mM,100.1,uM,96.2
TP0001063E04,01140020A,40701,100,mM,100.1,uM,96.2
TP0001061G04,01140022A,20257,100,mM,10.01,uM,104.4
TP0001070G04,01140022A,20257,100,mM,10.01,uM,104.4
TP0001056A01,01140024A,32459,100,mM,100.1,uM,104.1
TP0001065A01,01140024A,32459,100,mM,100.1,uM,104.1
TP0001059A01,01140026A,20740,99.9,mM,99.9,uM,90.9
TP0001068A01,01140026A,20740,99.9,mM,99.9,uM,90.9
TP0001056D08,01140028A,37208,50.1,mM,50.1,uM,90.3
TP0001065D08,01140028A,37208,50.1,mM,50.1,uM,90.3
TP0001054G01,01140030A,47628,100,mM,10.01,uM,105.6
TP0001063G01,01140030A,47628,100,mM,10.01,uM,105.6
TP0001061D10,01140032A,20299,99.9,mM,1,uM,104.5
TP0001070D10,01140032A,20299,99.9,mM,1,uM,104.5
TP0001057D10,01140034A,20895,20,mM,20,uM,91.3
TP0001066D10,01140034A,20895,20,mM,20,uM,91.3
TP0001058E07,01140036A,27608,100,mM,100.1,uM,81.6
TP0001067E07,01140036A,27608,100,mM,100.1,uM,81.6
TP0001057D09,01140038A,27625,99.9,mM,99.9,uM,94.5
TP0001066D09,01140038A,27625,99.9,mM,99.9,uM,94.5
TP0001057B04,01140040A,27932,20,mM,20,uM,96.5
TP0001066B04,01140040A,27932,20,mM,20,uM,96.5
TP0001060G04,01140042A,37708,100,mM,100.1,uM,102.4
TP0001069G04,01140042A,37708,100,mM,100.1,uM,102.4
TP0001055D11,01140044A,41376,100,mM,100,uM,101.3
TP0001064D11,01140044A,41376,100,mM,100,uM,101.3
TP0001057G07,01140046A,20232,99.9,mM,99.9,uM,101.2
TP0001066G07,01140046A,20232,99.9,mM,99.9,uM,101.2
TP0001055B07,01140048A,20143,100,mM,100.1,uM,100
TP0001064B07,01140048A,20143,100,mM,100.1,uM,100
TP0001059H04,01140050A,20913,100,mM,100,uM,100.6
TP0001068H04,01140050A,20913,100,mM,100,uM,100.6
TP0001059D05,01140052A,21206,100,mM,100,uM,97.3
TP0001068D05,01140052A,21206,100,mM,100,uM,97.3
TP0001060H11,01140054A,21780,100,mM,100,uM,95.2
TP0001069H11,01140054A,21780,100,mM,100,uM,95.2
TP0001057H07,01140056A,21831,99.9,mM,99.9,uM,104.4
TP0001066H07,01140056A,21831,99.9,mM,99.9,uM,104.4
TP0001060B11,01140058A,25895,100,mM,100,uM,77.7
TP0001069B11,01140058A,25895,100,mM,100,uM,77.7
TP0001060D08,01140060A,22529,100,mM,100,uM,89.8
TP0001069D08,01140060A,22529,100,mM,100,uM,89.8
TP0001061F06,01140062A,20941,100,mM,100,uM,89.9
TP0001070F06,01140062A,20941,100,mM,100,uM,89.9
TP0001055B03,01140064A,20350,100,mM,100,uM,93.4
TP0001064B03,01140064A,20350,100,mM,100,uM,93.4
TP0001061C04,01140066A,25145,99.9,mM,99.9,uM,90.6
TP0001070C04,01140066A,25145,99.9,mM,99.9,uM,90.6
TP0001057G01,01140068A,23878,20,mM,20,uM,112.5
TP0001066G01,01140068A,23878,20,mM,20,uM,112.5
TP0001060E05,01140070A,21936,99.9,mM,99.9,uM,100.1
TP0001069E05,01140070A,21936,99.9,mM,99.9,uM,100.1
TP0001058B03,01140072A,20582,99.9,mM,99.9,uM,93
TP0001067B03,01140072A,20582,99.9,mM,99.9,uM,93
TP0001058B04,01140074A,20209,100,mM,10,uM,112.1
