spid,spid_legacy,chid,stkc,stkc_unit,tested_conc_unit,CONC1,CONC2,CONC3,CONC4,CONC5,CONC6,CONC1_MTT,CONC2_MTT,CONC3_MTT,CONC4_MTT,CONC5_MTT,CONC6_MTT
TP0001056B12,01140012A,26252,100,mM,uM,100,33.33,11.11,3.7,1.23,0.41,89.31,91.94,96.22,93.75,96.88,108.55
TP0001065B12,01140012A,26252,100,mM,uM,100,33.33,11.11,3.7,1.23,0.41,89.31,91.94,96.22,93.75,96.88,108.55
TP0001059A01,01140026A,20740,99.9,mM,uM,99.9,33.3,11.1,3.7,1.23,0.41,88.63,99.7,98.15,100.59,100.37,101.55
TP0001068A01,01140026A,20740,99.9,mM,uM,99.9,33.3,11.1,3.7,1.23,0.41,88.63,99.7,98.15,100.59,100.37,101.55
TP0001058E07,01140036A,27608,100,mM,uM,100.1,33.37,11.12,3.71,1.24,0.41,82.75,88.05,90.36,92.73,92.98,93.6
TP0001067E07,01140036A,27608,100,mM,uM,100.1,33.37,11.12,3.71,1.24,0.41,82.75,88.05,90.36,92.73,92.98,93.6
TP0001055D11,01140044A,41376,100,mM,uM,100,33.33,11.11,3.7,1.23,0.41,111.72,115.95,104.33,89.12,88.91,90.39
TP0001064D11,01140044A,41376,100,mM,uM,100,33.33,11.11,3.7,1.23,0.41,111.72,115.95,104.33,89.12,88.91,90.39
TP0001060B11,01140058A,25895,100,mM,uM,100,33.33,11.11,3.7,1.23,0.41,84.85,99.22,98.14,105.3,106.38,105.64
TP0001069B11,01140058A,25895,100,mM,uM,100,33.33,11.11,3.7,1.23,0.41,84.85,99.22,98.14,105.3,106.38,105.64
TP0001060D08,01140060A,22529,100,mM,uM,100,33.33,11.11,3.7,1.23,0.41,89.3,96.14,96.72,94.91,96,100.87
TP0001069D08,01140060A,22529,100,mM,uM,100,33.33,11.11,3.7,1.23,0.41,89.3,96.14,96.72,94.91,96,100.87
TP0001055B03,01140064A,20350,100,mM,uM,100,33.33,11.11,3.7,1.23,0.41,97.46,96.19,96.82,91.31,83.9,98.73
