chid	chemical_name	measure	yes_no
29879	Ketoconazole	deoxycortisol	no
29879	Ketoconazole	hydroxyprogesteroneesterone	no
29879	Ketoconazole	androsteinedione	no
29879	Ketoconazole	cortisol	no
29879	Ketoconazole	deoxycortisone	yes
29879	Ketoconazole	estradiol	no
29879	Ketoconazole	estrone	no
29879	Ketoconazole	progesterone	yes
23869	Ametryn	hydroxyprogesteroneesterone	yes
23869	Ametryn	estradiol	yes
23869	Ametryn	estrone	yes
23869	Ametryn	progesterone	yes
23889	Quizalofop-ethyl	estradiol	yes
23889	Quizalofop-ethyl	progesterone	yes
35180	Allethrin	estrone	no
21975	Diphenylamine	estradiol	yes
21975	Diphenylamine	estrone	yes
24211	Napropamide	androsteinedione	no
24211	Napropamide	testosterone	no
20420	Propyzamide	deoxycortisol	no
20420	Propyzamide	hydroxypregnenolone	no
20420	Propyzamide	hydroxyprogesteroneesterone	no
20420	Propyzamide	cortisol	no
20420	Propyzamide	deoxycortisone	no
20420	Propyzamide	estradiol	no
20420	Propyzamide	estrone	no
20420	Propyzamide	progesterone	no
20420	Propyzamide	testosterone	no
24315	Myclobutanil	deoxycortisol	no
24315	Myclobutanil	hydroxyprogesteroneesterone	no
24315	Myclobutanil	androsteinedione	no
24315	Myclobutanil	deoxycortisone	no
24315	Myclobutanil	progesterone	no
24315	Myclobutanil	testosterone	no
37495	Deisopropylatrazine	hydroxypregnenolone	yes
37495	Deisopropylatrazine	estradiol	yes
37495	Deisopropylatrazine	estrone	yes
32500	Triflumizole	deoxycortisol	no
32500	Triflumizole	hydroxypregnenolone	no
32500	Triflumizole	hydroxyprogesteroneesterone	no
32500	Triflumizole	androsteinedione	no
32500	Triflumizole	cortisol	no
32500	Triflumizole	deoxycortisone	yes
32500	Triflumizole	progesterone	yes
32500	Triflumizole	testosterone	no
21100	Parathion	deoxycortisol	no
21100	Parathion	hydroxyprogesteroneesterone	yes
21100	Parathion	cortisol	no
21100	Parathion	deoxycortisone	no
21100	Parathion	estradiol	yes
21100	Parathion	estrone	yes
21100	Parathion	progesterone	yes
24242	Paclobutrazol	hydroxypregnenolone	no
24242	Paclobutrazol	androsteinedione	no
24242	Paclobutrazol	cortisol	no
24242	Paclobutrazol	deoxycortisone	no
34456	Cinmethylin	deoxycortisol	no
34456	Cinmethylin	hydroxypregnenolone	no
34456	Cinmethylin	cortisol	no
34456	Cinmethylin	deoxycortisone	no
34456	Cinmethylin	estradiol	yes
34456	Cinmethylin	testosterone	no
32354	Clodinafop-propargyl	hydroxypregnenolone	yes
32354	Clodinafop-propargyl	deoxycortisone	yes
32354	Clodinafop-propargyl	progesterone	yes
32549	Fenhexamid	deoxycortisol	no
32549	Fenhexamid	cortisol	no
32549	Fenhexamid	deoxycortisone	no
32613	Fenitrothion	deoxycortisol	no
32613	Fenitrothion	hydroxyprogesteroneesterone	yes
32613	Fenitrothion	cortisol	no
32613	Fenitrothion	deoxycortisone	no
32613	Fenitrothion	progesterone	yes
32405	Formetanate hydrochloride	hydroxyprogesteroneesterone	yes
32405	Formetanate hydrochloride	estradiol	yes
32405	Formetanate hydrochloride	estrone	yes
32405	Formetanate hydrochloride	progesterone	yes
22111	Propanil	hydroxypregnenolone	no
22111	Propanil	hydroxyprogesteroneesterone	no
22111	Propanil	androsteinedione	no
22111	Propanil	testosterone	no
32556	Fluthiacet-methyl	estrone	no
32640	Pyriproxyfen	hydroxyprogesteroneesterone	no
32640	Pyriproxyfen	deoxycortisone	no
32640	Pyriproxyfen	progesterone	no
24338	Thiophanate-methyl	progesterone	no
40361	Metam-sodium hydrate	hydroxyprogesteroneesterone	no
40361	Metam-sodium hydrate	progesterone	no
20819	Methidathion	deoxycortisol	no
20819	Methidathion	hydroxypregnenolone	no
20819	Methidathion	androsteinedione	no
20819	Methidathion	cortisol	no
20819	Methidathion	deoxycortisone	yes
20819	Methidathion	estrone	no
20819	Methidathion	progesterone	yes
20819	Methidathion	testosterone	no
32577	Tefluthrin	cortisol	yes
32577	Tefluthrin	estradiol	yes
32577	Tefluthrin	estrone	yes
21166	Piperonyl butoxide	deoxycortisone	no
23871	Amitraz	estrone	no
20407	Diazinon	deoxycortisol	no
20407	Diazinon	hydroxypregnenolone	no
20407	Diazinon	hydroxyprogesteroneesterone	yes
20407	Diazinon	androsteinedione	no
20407	Diazinon	cortisol	no
20407	Diazinon	estradiol	yes
20407	Diazinon	estrone	yes
20407	Diazinon	progesterone	yes
20407	Diazinon	testosterone	no
22325	"2,2-Bis(4-hydroxyphenyl)-1,1,1-trichloroethane"	deoxycortisol	no
22325	"2,2-Bis(4-hydroxyphenyl)-1,1,1-trichloroethane"	hydroxyprogesteroneesterone	no
22325	"2,2-Bis(4-hydroxyphenyl)-1,1,1-trichloroethane"	androsteinedione	no
22325	"2,2-Bis(4-hydroxyphenyl)-1,1,1-trichloroethane"	cortisol	no
22325	"2,2-Bis(4-hydroxyphenyl)-1,1,1-trichloroethane"	estrone	no
20022	Acifluorfen	testosterone	no
23412	Oxytetracycline dihydrate	progesterone	yes
34695	Mancozeb	estrone	no
34695	Mancozeb	progesterone	yes
